panjang_url,jumlah_titik,jumlah_strip,jumlah_digit,ada_at,ada_https,UsingIP,ShortURL,Redirecting//,PrefixSuffix-,SubDomains,HTTPSDomainURL,jumlah_kata_sensitif,label
132,3,6,9,0,1,0,0,0,0,0,0,2,1
14,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,0
175,2,2,17,0,1,0,0,0,0,0,0,0,1
322,6,1,138,0,1,0,0,0,1,0,0,0,1
28,2,1,0,0,1,0,0,0,1,0,0,0,0
20,1,0,0,0,1,0,0,0,0,0,0,0,0
95,2,1,9,0,1,0,0,0,1,0,0,0,1
21,1,1,0,0,1,0,0,0,1,0,0,0,1
49,2,0,2,0,1,0,0,0,0,0,0,0,1
28,1,1,0,0,1,0,0,0,1,0,0,0,0
20,1,0,0,0,1,0,1,0,0,0,0,0,0
18,2,0,0,0,1,0,0,0,0,0,0,0,0
15,1,0,2,0,1,0,0,0,0,0,0,0,0
35,2,0,0,0,1,0,0,0,0,0,0,0,1
22,1,0,1,0,1,0,0,0,0,0,0,0,1
175,2,4,13,0,1,0,0,0,0,0,0,0,1
16,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,2,0,1,0,1,0,0,0,0,0,1
21,1,1,1,0,1,0,0,0,1,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0,0,0,0
33,2,2,0,0,1,0,0,0,1,0,0,0,1
37,2,1,0,0,1,0,0,0,1,0,0,0,1
34,2,0,0,0,1,0,0,0,0,0,0,0,1
63,2,0,1,0,1,0,0,0,0,0,0,0,1
84,2,0,10,0,1,0,0,0,0,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
76,2,1,30,0,1,0,0,0,1,0,0,0,1
48,2,3,8,0,1,0,0,0,1,0,0,0,1
67,1,0,7,0,1,0,0,0,0,0,0,0,1
51,3,0,1,0,1,0,0,0,0,1,0,0,1
32,1,0,0,0,1,0,0,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0
35,1,2,0,0,1,0,0,0,1,0,0,0,0
